,cliques,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc,edges,nodes,density
3604,2,8,16,1,1,32,5975.01474609375,1515.239013671875,0.9722222222222221,1.0,32,16,0.26666666666666666
18716,4,12,56,2,9,64,45348.8125,42365.41796875,0.9720041322314049,0.9948347107438017,224,48,0.19858156028368795
16610,4,8,24,1,1,64,4333.27763671875,3982.84716796875,0.9717451523545707,0.9916897506925209,96,32,0.1935483870967742
13578,3,8,56,3,7,128,26681.320703125,24842.2734375,0.9717171717171716,1.0,168,24,0.6086956521739131
24758,5,8,32,2,1,512,8121.50888671875,7715.1708984375,0.9716796875,1.0,160,40,0.20512820512820512
10342,3,8,56,1,9,4,30977.98828125,28111.984375,0.9715335169880625,0.9871441689623507,168,24,0.6086956521739131
24755,5,8,32,2,1,64,8078.66494140625,7705.25634765625,0.971484375,1.0,160,40,0.20512820512820512
24905,5,8,56,2,5,8,26905.69296875,25889.169921875,0.9713647959183673,0.9894770408163266,280,40,0.358974358974359
13574,3,8,56,3,7,8,26701.91796875,24737.26171875,0.9713498622589534,1.0,168,24,0.6086956521739131
19993,4,8,48,3,3,32,16941.2123046875,8495.3212890625,0.9711911357340721,0.9882271468144044,192,32,0.3870967741935484
16609,4,8,24,1,1,32,4337.37333984375,3900.692626953125,0.9711911357340721,0.9916897506925209,96,32,0.1935483870967742
23191,5,8,40,1,3,256,17647.412890625,16832.021484375,0.9711250000000001,0.978125,200,40,0.2564102564102564
23288,5,8,56,1,5,64,25800.36328125,24264.220703125,0.971109693877551,0.9885204081632653,280,40,0.358974358974359
21574,4,8,40,4,5,4,25333.47265625,13115.5625,0.97109375,0.984375,160,32,0.3225806451612903
21668,4,8,56,4,5,64,25609.858984375,14797.779296875,0.9710743801652892,0.9850206611570247,224,32,0.45161290322580644
13577,3,8,56,3,7,64,26671.12734375,24844.271484375,0.9709825528007345,0.9999999999999999,168,24,0.6086956521739131
21670,4,8,56,4,5,256,23383.3943359375,14070.6220703125,0.9709710743801653,0.9870867768595042,224,32,0.45161290322580644
5884,2,16,32,2,7,256,33996.30703125,18828.357421875,0.9708333333333334,0.9930555555555555,64,32,0.12903225806451613
10343,3,8,56,1,9,8,31016.598828125,27924.705078125,0.9707988980716256,0.98989898989899,168,24,0.6086956521739131
21521,4,8,32,4,3,8,18497.198046875,17542.291015625,0.9707717569786535,0.993431855500821,128,32,0.25806451612903225
24797,5,8,40,2,1,8,8814.7970703125,8355.2021484375,0.97075,0.98625,200,40,0.2564102564102564
3839,2,8,56,1,3,64,12194.5447265625,11481.2294921875,0.9706611570247933,0.9834710743801652,112,16,0.9333333333333333
16741,4,8,48,1,1,4,4737.5033203125,4273.994140625,0.9706371191135734,0.9861495844875346,192,32,0.3870967741935484
24907,5,8,56,2,5,32,26670.185546875,25235.4296875,0.9705994897959185,0.9907525510204082,280,40,0.358974358974359
