,cliques,density,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc
162,1,0.5217391304347826,24,144,1,1,8,8079.8994140625,7570.703125,0.5579081632653061,0.6403061224489797
163,1,0.5217391304347826,24,144,1,1,16,8063.49189453125,7541.76806640625,0.5431122448979592,0.6594387755102041
164,1,0.5217391304347826,24,144,1,1,32,8060.70078125,7537.01416015625,0.5573979591836735,0.6454081632653061
165,1,0.5217391304347826,24,144,1,1,64,8059.901171875,7543.681640625,0.5586734693877551,0.6505102040816326
166,1,0.5217391304347826,24,144,1,1,128,8060.90888671875,7539.6279296875,0.5596938775510204,0.6428571428571428
167,1,0.5217391304347826,24,144,1,1,256,8060.2908203125,7549.7548828125,0.5586734693877551,0.6428571428571428
168,1,0.5217391304347826,24,144,1,3,2,15608.5708984375,14667.3125,0.4326530612244898,0.5918367346938775
169,1,0.5217391304347826,24,144,1,3,4,15582.6671875,14644.8369140625,0.43061224489795924,0.5153061224489796
170,1,0.5217391304347826,24,144,1,3,8,15573.9607421875,14651.265625,0.4676020408163266,0.5446428571428571
171,1,0.5217391304347826,24,144,1,3,16,15573.086328125,14649.6259765625,0.5229591836734694,0.5918367346938775
172,1,0.5217391304347826,24,144,1,3,32,15572.0220703125,14645.6455078125,0.5278061224489796,0.6084183673469388
173,1,0.5217391304347826,24,144,1,3,64,15572.2244140625,14654.6982421875,0.5323979591836734,0.6007653061224489
174,1,0.5217391304347826,24,144,1,3,128,15567.883203125,14660.1162109375,0.5270408163265305,0.5982142857142857
175,1,0.5217391304347826,24,144,1,3,256,15569.4416015625,14638.509765625,0.5252551020408164,0.5956632653061225
176,1,0.5217391304347826,24,144,1,5,2,21851.6328125,21060.142578125,0.5655612244897958,0.6785714285714285
177,1,0.5217391304347826,24,144,1,5,4,21846.9078125,21068.4609375,0.5755102040816327,0.6339285714285714
178,1,0.5217391304347826,24,144,1,5,8,21848.95234375,21062.794921875,0.5400510204081632,0.6377551020408163
179,1,0.5217391304347826,24,144,1,5,16,21838.78515625,21058.611328125,0.5410714285714285,0.6543367346938775
180,1,0.5217391304347826,24,144,1,5,32,21835.3671875,21040.7578125,0.5395408163265306,0.6607142857142857
181,1,0.5217391304347826,24,144,1,5,64,21854.351953125,21049.125,0.5298469387755101,0.6568877551020408
182,1,0.5217391304347826,24,144,1,5,128,21846.220703125,21034.443359375,0.5408163265306122,0.6619897959183674
183,1,0.5217391304347826,24,144,1,5,256,21838.53984375,21061.515625,0.5364795918367348,0.6607142857142857
184,1,0.5217391304347826,24,144,1,7,2,28318.776171875,25967.99609375,0.6288265306122449,0.6798469387755103
185,1,0.5217391304347826,24,144,1,7,4,28316.380859375,25939.87109375,0.5204081632653061,0.6428571428571429
186,1,0.5217391304347826,24,144,1,7,8,28313.347265625,25992.697265625,0.5186224489795919,0.6581632653061225
187,1,0.5217391304347826,24,144,1,7,16,28312.47421875,25978.69921875,0.5073979591836734,0.6517857142857143
188,1,0.5217391304347826,24,144,1,7,32,28308.18359375,26006.712890625,0.5119897959183674,0.6607142857142857
189,1,0.5217391304347826,24,144,1,7,64,28305.026171875,25945.3828125,0.5094387755102041,0.6658163265306123
190,1,0.5217391304347826,24,144,1,7,128,28312.103125,25957.88671875,0.5058673469387756,0.663265306122449
